Query_number,doc_number
174249,234667
174249,93644
174249,327023
320792,215918
320792,103721
320792,362011
1090270,297862
1090270,374960
1090270,196751
1101279,40533
1101279,133171
1101279,42176
201376,490144
201376,322861
201376,487177
54544,52880
54544,44280
54544,293476
118457,183462
118457,17152
118457,457754
178627,469062
178627,345227
178627,433312
1101278,187375
1101278,334566
1101278,89807
68095,52121
68095,373931
68095,171185
87892,99999
87892,1
87892,10
257309,36291
257309,499834
257309,464177
1090242,251367
1090242,234223
1090242,70435
211691,280748
211691,168365
211691,385130
165002,463568
165002,229832
165002,58894
1101276,381863
1101276,117515
1101276,499368
264827,68981
264827,404132
264827,481349
342285,247595
342285,45313
342285,103994
372586,275690
372586,200054
372586,349485
89786,265892
89786,86999
89786,150260
118448,254759
118448,295059
118448,231081
92542,279720
92542,117720
92542,279521
206117,495416
206117,2376
206117,406511
141472,99999
141472,1
141472,10
196232,91506
196232,256638
196232,150110
352818,191927
352818,438506
352818,285375
208145,58970
208145,501180
208145,327404
79891,214001
79891,114085
79891,465539
208494,496501
208494,474208
208494,351539
319564,77011
319564,27185
319564,23699
155234,501180
155234,327404
155234,58970
14151,310974
14151,290956
14151,60678
67802,170424
67802,42861
67802,259026
1090184,195635
1090184,174141
1090184,346446
323382,389653
323382,111785
323382,154418
323998,449472
323998,425085
323998,109907
289812,285273
289812,11094
289812,300816
333486,326873
333486,272654
333486,463318
1090171,244485
1090171,195635
1090171,365619
73257,71398
73257,288309
73257,178529
1090170,244485
1090170,195635
1090170,365619
127876,99999
127876,1
127876,10
1090165,195635
1090165,174141
1090165,346446
259417,187817
259417,107831
259417,430477
1101271,278831
1101271,393979
1101271,278980
205107,99999
205107,1
205107,10
307118,22189
307118,386999
307118,92111
335710,162017
335710,190252
335710,222584
127984,311904
127984,128816
127984,99280
1090151,199285
1090151,383680
1090151,282443
1090146,438450
1090146,501512
1090146,178127
1090132,99999
1090132,1
1090132,10
1090115,279748
1090115,79938
1090115,329990
1090110,162607
1090110,366234
1090110,393146
1090107,366234
1090107,192033
1090107,309683
1090086,222941
1090086,25869
1090086,311547
1090077,247512
1090077,152862
1090077,183651
1090072,144106
1090072,395334
1090072,104278
